 Year ; Cultura ; Crop ; Region ; Council ; Distrito ; Nut2 ; Nut3 ;TSI;Pre;StateSupport
2021;olival - azeite; olive grove - olive oil ;C;Vidigueira; Beja ; Alentejo ; Baixo Alentejo ;2289754.00;30770.28;18023.78
2021;olival - azeite; olive grove - olive oil ;C;Vila Viçosa; Évora ; Alentejo ; Alentejo Central ;98668.56;1627.86;927.96
2021;olival - azeite; olive grove - olive oil ;D;Abrantes; Santarém ; Região do Centro ; Médio Tejo ;46729.20;943.93;538.03
2021;olival - azeite; olive grove - olive oil ;D;Alfândega da Fé; Bragança ; Região do Norte ; Terras de Trás-os-Montes ;84399.67;1695.11;996.99
2021;olival - azeite; olive grove - olive oil ;D;Armamar; Viseu ; Região do Norte ; Douro ;31184.64;629.92;359.05
2021;olival - azeite; olive grove - olive oil ;D;Belmonte; Castelo Branco ; Região do Centro ; Beiras e Serra da Estrela ;249.00;4.78;2.87
2021;olival - azeite; olive grove - olive oil ;D;Castelo Branco; Castelo Branco ; Região do Centro ; Beira Baixa ;136463.98;2756.50;1621.39
2021;olival - azeite; olive grove - olive oil ;D;Covilhã; Castelo Branco ; Região do Centro ; Beiras e Serra da Estrela ;1760.00;35.55;21.02
2021;olival - azeite; olive grove - olive oil ;D;Ferreira do Zêzere; Santarém ; Região do Centro ; Médio Tejo ;4356.48;88.00;50.16
2021;olival - azeite; olive grove - olive oil ;D;Idanha-a-Nova; Castelo Branco ; Região do Centro ; Beira Baixa ;4842.99;97.74;56.42
2021;olival - azeite; olive grove - olive oil ;D; Mêda ; Guarda ; Região do Centro ; Beiras e Serra da Estrela ;5223.84;105.49;60.96
2021;olival - azeite; olive grove - olive oil ;D;Mirandela; Bragança ; Região do Norte ; Terras de Trás-os-Montes ;785658.05;15376.14;9131.77
2021;olival - azeite; olive grove - olive oil ;D;Penamacor; Castelo Branco ; Região do Centro ; Beira Baixa ;29640.69;598.76;359.24
2021;olival - azeite; olive grove - olive oil ;D;São João da Pesqueira; Viseu ; Região do Norte ; Douro ;22338.00;451.22;270.73
2021;olival - azeite; olive grove - olive oil ;D;Seia; Guarda ; Região do Centro ; Beiras e Serra da Estrela ;2352.00;47.51;27.08
2021;olival - azeite; olive grove - olive oil ;D;Tomar; Santarém ; Região do Centro ; Médio Tejo ;15965.64;322.50;193.50
2021;olival - azeite; olive grove - olive oil ;D;Valpaços; Vila Real ; Região do Norte ; Alto Tâmega ;77673.60;1510.31;906.37
2021;olival - azeite; olive grove - olive oil ;D;Vila Flôr; Bragança ; Região do Norte ; Terras de Trás-os-Montes ;278902.18;5633.62;3343.18
2021;olival - azeite; olive grove - olive oil ;D;Vila Nova de Foz Côa; Guarda ; Região do Norte ; Douro ;155257.24;3067.52;1836.88
2021;olival - azeite; olive grove - olive oil ;E; Bragança ; Bragança ; Região do Norte ; Terras de Trás-os-Montes ;10200.78;330.44;191.36
2021;olival - azeite; olive grove - olive oil ;E;Carrazeda de Ansiães; Bragança ; Região do Norte ; Douro ;97763.15;3216.41;1929.56
2021;olival - azeite; olive grove - olive oil ;E;Celorico da Beira; Guarda ; Região do Centro ; Beiras e Serra da Estrela ;639.98;21.05;12.00
2021;olival - azeite; olive grove - olive oil ;E;Freixo Espada à Cinta; Bragança ; Região do Norte ; Douro ;6634.00;218.19;124.33
2021;olival - azeite; olive grove - olive oil ;E;Macedo de Cavaleiros; Bragança ; Região do Norte ; Terras de Trás-os-Montes ;204261.15;6545.94;3842.95
2021;olival - azeite; olive grove - olive oil ;E;Miranda do Douro; Bragança ; Região do Norte ; Terras de Trás-os-Montes ;1416.00;46.57;26.54
2021;olival - azeite; olive grove - olive oil ;E;Mogadouro; Bragança ; Região do Norte ; Terras de Trás-os-Montes ;101069.29;3324.83;1905.77
2021;olival - azeite; olive grove - olive oil ;E;Penedono; Viseu ; Região do Norte ; Douro ;1009.80;33.21;19.93
2021;olival - azeite; olive grove - olive oil ;E;Pinhel; Guarda ; Região do Centro ; Beiras e Serra da Estrela ;33787.55;1111.58;659.12
2021;olival - azeite; olive grove - olive oil ;E;Sabrosa; Vila Real ; Região do Norte ; Douro ;376.20;13.18;7.42
2021;olival - azeite; olive grove - olive oil ;E;Torre de Moncorvo; Bragança ; Região do Norte ; Douro ;37371.91;1226.47;735.21
2021;olival - azeite; olive grove - olive oil ;E;Vimioso; Bragança ; Região do Norte ; Terras de Trás-os-Montes ;1565.28;51.49;30.67
2021;olival - azeite; olive grove - olive oil ;E;Vinhais; Bragança ; Região do Norte ; Terras de Trás-os-Montes ;107.00;3.51;2.09
2021;olival - azeitona de mesa; olive grove - table olives ;C;Beja; Beja ; Alentejo ; Baixo Alentejo ;1390286.54;13915.46;8341.72
2021;olival - azeitona de mesa; olive grove - table olives ;C;Campo Maior; Portalegre ; Alentejo ; Alto Alentejo ;18305.49;302.04;181.22
2021;olival - azeitona de mesa; olive grove - table olives ;C;Ferreira do Alentejo; Beja ; Alentejo ; Baixo Alentejo ;271845.00;2720.86;1631.08
2021;olival - azeitona de mesa; olive grove - table olives ;C;Moura; Beja ; Alentejo ; Baixo Alentejo ;174487.62;2879.04;1641.06
2021;olival - azeitona de mesa; olive grove - table olives ;C;Serpa; Beja ; Alentejo ; Baixo Alentejo ;505856.90;5063.12;3035.13
2021;olival - azeitona de mesa; olive grove - table olives ;D;Belmonte; Castelo Branco ; Região do Centro ; Beiras e Serra da Estrela ;2290.05;46.26;27.76
2021;olival - azeitona de mesa; olive grove - table olives ;D;Castelo Branco; Castelo Branco ; Região do Centro ; Beira Baixa ;5510.93;111.32;66.78
